Time,rep1,rep2,rep3,rep4
47.93995,-0.06355159,-0.06214183,-0.0573491,-0.0597481
48.05995,-0.06355299,-0.06207643,-0.0573694,-0.05975
48.17995,-0.06354089,-0.06199033,-0.0573555,-0.0597951
48.29995,-0.06356309,-0.06201213,-0.0573555,-0.0597505
48.41995,-0.06362029,-0.06202453,-0.0574088,-0.0597514
48.53995,-0.06360769,-0.06207693,-0.057396,-0.0597723
48.65995,-0.06362349,-0.06207533,-0.0573428,-0.0598328
48.77995,-0.06360459,-0.06204713,-0.0573989,-0.0598509
48.89995,-0.06359659,-0.06204223,-0.0574024,-0.0598048
49.01995,-0.06363779,-0.06206723,-0.0574446,-0.0598108
49.13995,-0.06365289,-0.06213503,-0.05742,-0.0598312
49.25995,-0.06365459,-0.06216983,-0.057426,-0.0598473
49.37995,-0.06357789,-0.06210523,-0.0573482,-0.0598911
49.49995,-0.06362609,-0.06208153,-0.0573917,-0.0598768
49.61995,-0.06362539,-0.06210103,-0.0574885,-0.0598462
49.73995,-0.06366179,-0.06210073,-0.0575985,-0.0598556
49.85995,-0.06369059,-0.06214613,-0.0574052,-0.0598902
49.97995,-0.06365749,-0.06217423,-0.0573785,-0.0599155
50.09995,-0.06362339,-0.06212643,-0.0573984,-0.0599544
50.21995,-0.06364779,-0.06213433,-0.0575079,-0.0598995
50.33995,-0.06372109,-0.06212633,-0.0575239,-0.0598854
50.45995,-0.06386449,-0.06217243,-0.0575004,-0.0598568
50.57995,-0.06374999,-0.06221323,-0.0574994,-0.0599509
50.69995,-0.06369379,-0.06219133,-0.0575195,-0.0599674
